UniProt_ID	Gene_Name	Protein_Name	Subcellular_Location	Domain_Information
P49910	ZNF165	Zinc finger protein 165 (Cancer/testis antigen 53) (CT53) (LD65) (Zinc finger and SCAN domain-containing protein 7)	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.	
P49913	CAMP	Cathelicidin antimicrobial peptide (18 kDa cationic antimicrobial protein) (CAP-18) (hCAP-18) [Cleaved into: Antibacterial peptide FALL-39 (FALL-39 peptide antibiotic); Antibacterial peptide LL-37; Antibacterial peptide KR-20; Antibacterial peptide LL-23; Antibacterial peptide LL-29; Antibacterial peptide KS-30; Antibacterial peptide RK-31; Antibacterial peptide FF-33]	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:14978112}. Vesicle {ECO:0000269|PubMed:7529412, ECO:0000269|PubMed:9736536}. Note=Stored as pro-peptide in granules and phagolysosomes of neutrophils (PubMed:7529412, PubMed:9736536). Secreted in sweat onto skin (PubMed:14978112). {ECO:0000269|PubMed:14978112, ECO:0000269|PubMed:7529412, ECO:0000269|PubMed:9736536}.	DOMAIN: The cathelin-like domain (CLD), which is the propeptide part, does not seem to exhibit auto-inhibitory function, as it does not inhibit the antibacterial activity of antibacterial peptide LL-37. {ECO:0000269|PubMed:23406372}.; DOMAIN: [Antibacterial peptide LL-37]: Undergoes conformational change in the presence of lipid A, transitioning from a random coil to an alpha-helical structure. {ECO:0000269|PubMed:9736536}.; DOMAIN: [Antibacterial peptide LL-37]: Residues 17-29 of LL-37 represent the active core of the antimicrobial peptide (PubMed:32753597, PubMed:35061360). Forms ribbon-like fibrils and exhibits antibacterial activity against Gram-positive M.luteus (MIC=22-25 uM) and S.hominis (MIC=39 uM) (PubMed:32753597, PubMed:35061360). Also exhibits antibacterial activity against Gram-negative E.coli (MIC=47 uM) and P.fluorescens (MIC=136 uM) (PubMed:35061360). {ECO:0000269|PubMed:32753597, ECO:0000269|PubMed:35061360}.
P49915	GMPS	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:8089153}.	
P50148	GNAQ	Guanine nucleotide-binding protein G(q) subunit alpha (EC 3.6.5.-) (Guanine nucleotide-binding protein alpha-q)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19001095}; Lipid-anchor {ECO:0000269|PubMed:19001095}. Golgi apparatus {ECO:0000269|PubMed:19001095}. Nucleus {ECO:0000250|UniProtKB:P21279}. Nucleus membrane {ECO:0000250|UniProtKB:P21279}. Note=Colocalizes with the adrenergic receptors, ADREN1A and ADREN1B, at the nuclear membrane of cardiac myocytes. {ECO:0000250|UniProtKB:P21279}.	
P50150	GNG4	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}.	
P50395	GDI2	Rab GDP dissociation inhibitor beta (Rab GDI beta) (Guanosine diphosphate dissociation inhibitor 2) (GDI-2)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:19570034}.	
P50440	GATM	Glycine amidinotransferase, mitochondrial (EC 2.1.4.1) (L-arginine:glycine amidinotransferase) (Transamidinase)	SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion inner membrane; Peripheral membrane protein; Intermembrane side. Note=Probably attached to the outer side of the inner membrane.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm.	DOMAIN: One chain folds into a compact single domain composed of repeating units, five beta-beta-alpha-beta modules, which surround the central active site.
P50453	SERPINB9	Serpin B9 (Cytoplasmic antiproteinase 3) (CAP-3) (CAP3) (Peptidase inhibitor 9) (PI-9)	SUBCELLULAR LOCATION: Cytoplasm.	
P50461	CSRP3	Cysteine and glycine-rich protein 3 (Cardiac LIM protein) (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P50463}. Cytoplasm {ECO:0000269|PubMed:18505755}. Cytoplasm, cytoskeleton {ECO:0000305}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:24860983}. Cytoplasm, myofibril, sarcomere {ECO:0000269|PubMed:24934443}. Note=Nucleocytoplasmic shuttling protein. Mainly cytoplasmic. In the Z line, found associated with GLRX3 (By similarity). {ECO:0000250|UniProtKB:P50462, ECO:0000250|UniProtKB:P50463}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:24860983}.	DOMAIN: LIM zinc-binding domain 1 is required for self-association. LIM zinc-binding domain 1 and LIM zinc-binding domain 2 both are required for optimal actin-bundling activity (PubMed:24934443). LIM zinc-binding domain 1 mediates binding to MYOD1. LIM zinc-binding domain 2 mediates binding to SPTB (By similarity). {ECO:0000250|UniProtKB:P50463, ECO:0000269|PubMed:24934443}.
P50502	ST13	Hsc70-interacting protein (Hip) (Aging-associated protein 2) (Progesterone receptor-associated p48 protein) (Protein FAM10A1) (Putative tumor suppressor ST13) (Renal carcinoma antigen NY-REN-33) (Suppression of tumorigenicity 13 protein)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.	
P50542	PEX5	Peroxisomal targeting signal 1 receptor (PTS1 receptor) (PTS1R) (PTS1-BP) (Peroxin-5) (Peroxisomal C-terminal targeting signal import receptor) (Peroxisome receptor 1)	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:11336669, ECO:0000269|PubMed:16314507, ECO:0000269|PubMed:7719337}. Peroxisome matrix {ECO:0000269|PubMed:11336669, ECO:0000269|PubMed:11546814, ECO:0000269|PubMed:16314507, ECO:0000269|PubMed:24662292, ECO:0000269|PubMed:26344566, ECO:0000269|PubMed:33389129, ECO:0000269|PubMed:7706321, ECO:0000269|PubMed:7719337}. Note=Cycles between the cytosol and the peroxisome matrix (PubMed:11336669, PubMed:16314507). Following binding to cargo proteins containing a PTS1 peroxisomal targeting signal in the cytosol, recruited to the docking complex, composed of PEX13 and PEX14, leading to translocation into the peroxisome matrix along with cargo proteins (By similarity). Export and recycling to the cytosol is initiated by binding to the PEX2-PEX10-PEX12 ligase complex via its unstructured N-terminus that inserts into the ligase pore and emerges in the cytosol (By similarity). Cys-11 of PEX5 is then monoubiquitinated, promoting its extraction from peroxisomal membrane by the PEX1-PEX6 AAA ATPase complex (PubMed:16314507, PubMed:19208625, PubMed:24118911, PubMed:29884772). Extraction is accompanied by unfolding of the TPR repeats and release of bound cargo in the peroxisome matrix (By similarity). The TPR repeats refold in the cytosol and ubiquitination is removed by deubiquitinating enzymes, resetting PEX5 for a subsequent import cycle (By similarity). {ECO:0000250|UniProtKB:A0A1L8FDW4, ECO:0000269|PubMed:11336669, ECO:0000269|PubMed:16314507, ECO:0000269|PubMed:19208625, ECO:0000269|PubMed:24118911, ECO:0000269|PubMed:29884772}.	DOMAIN: The TPR repeats mediate interaction with proteins containing a C-terminal PTS1-type tripeptide peroxisomal targeting signal (SKL-type). {ECO:0000269|PubMed:11101887, ECO:0000269|PubMed:17157249}.; DOMAIN: The WxxxF/Y motifs mediate interaction with PEX14, promoting association with the PEX13-PEX14 docking complex. {ECO:0000269|PubMed:11438541}.; DOMAIN: The amphipathic helix 1 and 2 (AH1 and AH2, respectively) are required for PEX5 retrotranslocation and recycling (By similarity). AH2 mediates interaction with lumenal side of the PEX2-PEX10-PEX12 ligase complex, while AH1 is required for extraction from peroxisomal membrane by the PEX1-PEX6 AAA ATPase complex (By similarity). {ECO:0000250|UniProtKB:A0A1L8FDW4}.
P50552	VASP	Vasodilator-stimulated phosphoprotein (VASP)	SUBCELLULAR LOCATION: Cytoplasm. Cytoplasm, cytoskeleton. Cell junction, focal adhesion. Cell junction, tight junction {ECO:0000250}. Cell projection, lamellipodium membrane. Cell projection, filopodium membrane. Note=Targeted to stress fibers and focal adhesions through interaction with a number of proteins including MRL family members. Localizes to the plasma membrane in protruding lamellipodia and filopodial tips. Stimulation by thrombin or PMA, also translocates VASP to focal adhesions. Localized along the sides of actin filaments throughout the peripheral cytoplasm under basal conditions. In pre-apoptotic cells, colocalizes with MEFV in large specks (pyroptosomes).	DOMAIN: The EVH2 domain is comprised of 3 regions. Block A is a thymosin-like domain required for G-actin binding. The KLKR motif within this block is essential for the G-actin binding and for actin polymerization. Block B is required for F-actin binding and subcellular location, and Block C for tetramerization.; DOMAIN: The WH1 domain mediates interaction with XIRP1.
P50579	METAP2	Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18) (Initiation factor 2-associated 67 kDa glycoprotein) (p67) (p67eIF2) (Peptidase M)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03175, ECO:0000269|PubMed:21537465}. Note=About 30% of expressed METAP2 associates with polysomes.	
P50591	TNFSF10	Tumor necrosis factor ligand superfamily member 10 (Apo-2 ligand) (Apo-2L) (TNF-related apoptosis-inducing ligand) (Protein TRAIL) (CD antigen CD253)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:14609566}; Single-pass type II membrane protein {ECO:0000305}. Secreted {ECO:0000269|PubMed:14609566}. Note=Exists both as membrane-bound and soluble form. {ECO:0000269|PubMed:14609566}.	
P50613	CDK7	Cyclin-dependent kinase 7 (EC 2.7.11.22) (EC 2.7.11.23) (39 kDa protein kinase) (p39 Mo15) (CDK-activating kinase 1) (Cell division protein kinase 7) (Serine/threonine-protein kinase 1) (TFIIH basal transcription factor complex kinase subunit)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10958787, ECO:0000269|PubMed:15695176, ECO:0000269|PubMed:19071173}. Cytoplasm {ECO:0000269|PubMed:15695176}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:19071173}. Note=Colocalizes with PRKCI in the cytoplasm and nucleus (PubMed:15695176). Translocates from the nucleus to cytoplasm and perinuclear region in response to DNA-bound peptides (PubMed:19071173). {ECO:0000269|PubMed:15695176, ECO:0000269|PubMed:19071173}.	
P50993	ATP1A2	Sodium/potassium-transporting ATPase subunit alpha-2 (Na(+)/K(+) ATPase alpha-2 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-2)	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:7711835}; Multi-pass membrane protein {ECO:0000269|PubMed:7711835}. Cell membrane {ECO:0000269|PubMed:7711835}; Multi-pass membrane protein {ECO:0000269|PubMed:7711835}.	
P50995	ANXA11	Annexin A11 (56 kDa autoantigen) (Annexin XI) (Annexin-11) (Calcyclin-associated annexin 50) (CAP-50)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:28469040}. Melanosome. Nucleus envelope. Nucleus, nucleoplasm {ECO:0000269|PubMed:28469040}. Cytoplasm, cytoskeleton, spindle. Note=Found throughout the nucleoplasm at interphase and during mitosis concentrates around the mitotic apparatus (By similarity). Elevation of intracellular calcium causes relocalization from the nucleoplasm to the nuclear envelope, with little effect on the cytoplasmic pool. Localization to the nuclear envelope is cell-cycle dependent. {ECO:0000250}.	DOMAIN: A pair of annexin repeats may form one binding site for calcium and phospholipid.
P51149	RAB7A	Ras-related protein Rab-7a (EC 3.6.5.2)	SUBCELLULAR LOCATION: Cytoplasmic vesicle, phagosome membrane {ECO:0000269|PubMed:12944476, ECO:0000269|PubMed:21255211}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Late endosome membrane {ECO:0000269|PubMed:12944476, ECO:0000269|PubMed:14617358, ECO:0000269|PubMed:16176980, ECO:0000269|PubMed:20028791, ECO:0000269|PubMed:28325809}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Lysosome membrane {ECO:0000269|PubMed:12944476, ECO:0000269|PubMed:20028791, ECO:0000269|PubMed:38538795}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Melanosome membrane {ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Cytoplasmic vesicle, autophagosome membrane {ECO:0000269|PubMed:20028791}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Lipid droplet {ECO:0000250|UniProtKB:P51150}. Endosome membrane {ECO:0000269|PubMed:22431521}; Peripheral membrane protein {ECO:0000305}. Cytoplasmic vesicle {ECO:0000250|UniProtKB:P51150}. Mitochondrion membrane {ECO:0000305|PubMed:34432599}; Peripheral membrane protein {ECO:0000305}. Note=Colocalizes with OSBPL1A at the late endosome (PubMed:16176980). Found in the ruffled border (a late endosomal-like compartment in the plasma membrane) of bone-resorbing osteoclasts. Recruited to phagosomes containing S.aureus or Mycobacterium (PubMed:21255211). Lipid droplet localization is increased upon ADRB2 stimulation (By similarity). Recruited to damaged mitochondria during mitophagy in a RIMOC1-dependent manner (PubMed:34432599). {ECO:0000250|UniProtKB:P51150, ECO:0000269|PubMed:16176980, ECO:0000269|PubMed:21255211, ECO:0000269|PubMed:34432599}.	DOMAIN: Switch I, switch II and the interswitch regions are characteristic of Rab GTPases and mediate the interactions with Rab downstream effectors. The switch regions undergo conformational changes upon nucleotide binding which drive interaction with specific sets of effector proteins, with most effectors only binding to GTP-bound Rab. {ECO:0000269|PubMed:15933719}.
P51159	RAB27A	Ras-related protein Rab-27A (Rab-27) (EC 3.6.5.2) (GTP-binding protein Ram)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}. Melanosome {ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065}. Late endosome {ECO:0000269|PubMed:15548590, ECO:0000269|PubMed:30771381}. Lysosome {ECO:0000269|PubMed:15548590}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:12643545, PubMed:17081065). Localizes to endosomal exocytic vesicles (PubMed:17237785). {ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065, ECO:0000269|PubMed:17237785}.	
P51168	SCNN1B	Epithelial sodium channel subunit beta (Beta-ENaC) (ENaC subunit beta) (ENaCB) (Epithelial Na(+) channel subunit beta) (Amiloride-sensitive sodium channel subunit beta) (Beta-NaCH) (Nonvoltage-gated sodium channel 1 subunit beta) (SCNEB)	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:18174164, ECO:0000269|PubMed:7762608}; Multi-pass membrane protein {ECO:0000269|PubMed:30251954, ECO:0000269|PubMed:32729833}. Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:P37090}; Multi-pass membrane protein {ECO:0000269|PubMed:30251954, ECO:0000269|PubMed:32729833}.	
P51170	SCNN1G	Epithelial sodium channel subunit gamma (ENaC subunit gamma) (ENaCG) (Epithelial Na(+) channel subunit gamma) (Gamma-ENaC) (Amiloride-sensitive sodium channel subunit gamma) (Gamma-NaCH) (Nonvoltage-gated sodium channel 1 subunit gamma) (SCNEG) (Sodium channel epithelial 1 subunit gamma)	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:24124190}; Multi-pass membrane protein {ECO:0000269|PubMed:30251954, ECO:0000269|PubMed:32729833}.	
P51178	PLCD1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-1) (Phospholipase C-III) (PLC-III) (Phospholipase C-delta-1) (PLC-delta-1)		
P51449	RORC	Nuclear receptor ROR-gamma (Nuclear receptor RZR-gamma) (Nuclear receptor subfamily 1 group F member 3) (RAR-related orphan receptor C) (Retinoid-related orphan receptor-gamma)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:26160376}.	DOMAIN: The AF-2 (activation function-2) motif is required for recruiting coregulators containing LXXLL motifs such as NCOA1 and NCOA2. {ECO:0000250|UniProtKB:P51450}.
P51532	SMARCA4	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4 (SMARCA4) (EC 3.6.4.-) (BRG1-associated factor 190A) (BAF190A) (Mitotic growth and transcription activator) (Protein BRG-1) (Protein brahma homolog 1) (SNF2-beta) (Transcription activator BRG1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00549, ECO:0000269|PubMed:20418909, ECO:0000269|PubMed:25593309}. Note=Colocalizes with long non-coding RNA Evf2 in nuclear RNA clouds (By similarity). Localizes to sites of DNA damage (PubMed:25593309). {ECO:0000250|UniProtKB:Q3TKT4, ECO:0000269|PubMed:25593309}.	DOMAIN: The KIKL motif recognizes and binds the NET domain of BRD3. {ECO:0000269|PubMed:29567837}.
P51570	GALK1	Galactokinase (EC 2.7.1.6) (Galactose kinase)		
P51587	BRCA2	Breast cancer type 2 susceptibility protein (Fanconi anemia group D1 protein)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:24013206, ECO:0000269|PubMed:26833090, ECO:0000305|PubMed:21276791}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:21276791}. Note=Colocalizes with ERCC5/XPG to nuclear foci following DNA replication stress. {ECO:0000269|PubMed:26833090}.	
P51608	MECP2	Methyl-CpG-binding protein 2 (MeCp-2 protein) (MeCp2)	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9Z2D6}. Note=Colocalized with methyl-CpG in the genome. Colocalized with TBL1X to the heterochromatin foci. {ECO:0000269|PubMed:28348241}.	
P51636	CAV2	Caveolin-2	SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Golgi apparatus membrane; Peripheral membrane protein. Cell membrane; Peripheral membrane protein. Membrane, caveola; Peripheral membrane protein. Note=Potential hairpin-like structure in the membrane. Membrane protein of caveolae. Tyr-19-phosphorylated form is enriched at sites of cell-cell contact and is translocated to the nucleus in complex with MAPK1 in response to insulin (By similarity). Tyr-27-phosphorylated form is located both in the cytoplasm and plasma membrane. CAV1-mediated Ser-23-phosphorylated form locates to the plasma membrane. Ser-36-phosphorylated form resides in intracellular compartments. {ECO:0000250}.	
P51649	ALDH5A1	Succinate-semialdehyde dehydrogenase, mitochondrial (EC 1.2.1.24) (Aldehyde dehydrogenase family 5 member A1) (NAD(+)-dependent succinic semialdehyde dehydrogenase)	SUBCELLULAR LOCATION: Mitochondrion.	
P51654	GPC3	Glypican-3 (GTR2-2) (Intestinal protein OCI-5) (MXR7) [Cleaved into: Glypican-3 alpha subunit; Glypican-3 beta subunit]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:14610063}; Lipid-anchor, GPI-anchor {ECO:0000250|UniProtKB:P13265}; Extracellular side {ECO:0000250|UniProtKB:P13265}.	
P51659	HSD17B4	Peroxisomal multifunctional enzyme type 2 (MFE-2) (17-beta-hydroxysteroid dehydrogenase 4) (17-beta-HSD 4) (D-bifunctional protein) (DBP) (Multifunctional protein 2) (MFP-2) (Short chain dehydrogenase/reductase family 8C member 1) [Cleaved into: (3R)-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.n12); Enoyl-CoA hydratase 2 (EC 4.2.1.107) (EC 4.2.1.119) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase)]	SUBCELLULAR LOCATION: Peroxisome {ECO:0000305}.	
P51671	CCL11	Eotaxin (C-C motif chemokine 11) (Eosinophil chemotactic protein) (Small-inducible cytokine A11)	SUBCELLULAR LOCATION: Secreted {ECO:0000305|PubMed:8597956}.	
P51679	CCR4	C-C chemokine receptor type 4 (C-C CKR-4) (CC-CKR-4) (CCR-4) (CCR4) (K5-5) (CD antigen CD194)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.	
P51681	CCR5	C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (CCR5) (CHEMR13) (HIV-1 fusion coreceptor) (CD antigen CD195)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10383387, ECO:0000269|PubMed:11323418}; Multi-pass membrane protein {ECO:0000269|PubMed:11323418}.	
P51812	RPS6KA3	Ribosomal protein S6 kinase alpha-3 (S6K-alpha-3) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 3) (p90-RSK 3) (p90RSK3) (Insulin-stimulated protein kinase 1) (ISPK-1) (MAP kinase-activated protein kinase 1b) (MAPK-activated protein kinase 1b) (MAPKAP kinase 1b) (MAPKAPK-1b) (Ribosomal S6 kinase 2) (RSK-2) (pp90RSK2)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17213202}. Cytoplasm {ECO:0000269|PubMed:17213202}.	
P51843	NR0B1	Nuclear receptor subfamily 0 group B member 1 (DSS-AHC critical region on the X chromosome protein 1) (Nuclear receptor DAX-1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16709599}. Cytoplasm {ECO:0000269|PubMed:16709599}. Note=Shuttles between the cytoplasm and nucleus. Homodimers exits in the cytoplasm and in the nucleus. {ECO:0000269|PubMed:16709599}.	DOMAIN: Homodimerization involved an interaction between amino and carboxy termini involving LXXLL motifs and steroid binding domain (AF-2 motif). Heterodimerizes with NR5A1 and NROB2 through its N-terminal LXXLL motifs. {ECO:0000269|PubMed:16709599}.
P51858	HDGF	Hepatoma-derived growth factor (HDGF) (High mobility group protein 1-like 2) (HMG-1L2)	SUBCELLULAR LOCATION: [Isoform 1]: Nucleus {ECO:0000269|PubMed:11751870, ECO:0000269|PubMed:26845719}. Cytoplasm {ECO:0000269|PubMed:11751870}. Secreted, extracellular exosome {ECO:0000269|PubMed:27926477}. Note=Secreted by exosomes and is located inside the exosome (PubMed:27926477). May also be secreted as free protein via an as yet unknown pathway (PubMed:27926477). {ECO:0000269|PubMed:27926477}.; SUBCELLULAR LOCATION: [Isoform 2]: Nucleus {ECO:0000269|PubMed:26845719}. Cytoplasm {ECO:0000269|PubMed:26845719}. Secreted, extracellular exosome {ECO:0000269|PubMed:27926477}. Note=Secreted by exosomes and is located on the outer exosome surface. {ECO:0000269|PubMed:27926477}.; SUBCELLULAR LOCATION: [Isoform 3]: Nucleus {ECO:0000269|PubMed:26845719}. Cytoplasm {ECO:0000269|PubMed:26845719}. Secreted, extracellular exosome {ECO:0000269|PubMed:27926477}. Note=Secreted by exosomes and is located on the outer exosome surface. {ECO:0000269|PubMed:27926477}.	DOMAIN: The PWWP domain harbors the heparin-binding sites and is responsible for DNA-binding, while the C-terminal region is essentially unstructured. {ECO:0000269|PubMed:15491618, ECO:0000269|PubMed:17270212}.; DOMAIN: The N-terminal region does not contain a typical signal sequence but is required for secretion (By similarity). It also determines exosomal location (PubMed:26845719). {ECO:0000250|UniProtKB:P51859, ECO:0000269|PubMed:26845719}.
P51884	LUM	Lumican (Keratan sulfate proteoglycan lumican) (KSPG lumican)	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	
P51911	CNN1	Calponin-1 (Basic calponin) (Calponin H1, smooth muscle)		
P51948	MNAT1	CDK-activating kinase assembly factor MAT1 (CDK7/cyclin-H assembly factor) (Cyclin-G1-interacting protein) (Menage a trois) (RING finger protein 66) (RING finger protein MAT1) (p35) (p36)	SUBCELLULAR LOCATION: Nucleus.	
P51991	HNRNPA3	Heterogeneous nuclear ribonucleoprotein A3 (hnRNP A3)	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Note=Component of ribonucleosomes.	
P52429	DGKE	Diacylglycerol kinase epsilon (DAG kinase epsilon) (EC 2.7.1.107) (Diglyceride kinase epsilon) (DGK-epsilon)	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:23542698}; Single-pass membrane protein {ECO:0000255}. Cytoplasm {ECO:0000269|PubMed:23542698}.	
P52564	MAP2K6	Dual specificity mitogen-activated protein kinase kinase 6 (MAP kinase kinase 6) (MAPKK 6) (EC 2.7.12.2) (MAPK/ERK kinase 6) (MEK 6) (Stress-activated protein kinase kinase 3) (SAPK kinase 3) (SAPKK-3) (SAPKK3)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9768359}. Cytoplasm {ECO:0000269|PubMed:9768359}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:9768359}. Note=Binds to microtubules. {ECO:0000269|PubMed:9768359}.	DOMAIN: The DVD domain (residues 311-334) contains a conserved docking site and is found in the mammalian MAP kinase kinases (MAP2Ks). The DVD sites bind to their specific upstream MAP kinase kinase kinases (MAP3Ks) and are essential for activation. {ECO:0000269|PubMed:15866172}.; DOMAIN: The D domain (residues 4-19) contains a conserved docking site and is required for the binding to MAPK substrates. {ECO:0000250}.
P52565	ARHGDIA	Rho GDP-dissociation inhibitor 1 (Rho GDI 1) (Rho-GDI alpha)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23434736}.	
P52594	AGFG1	Arf-GAP domain and FG repeat-containing protein 1 (HIV-1 Rev-binding protein) (Nucleoporin-like protein RIP) (Rev-interacting protein) (Rev/Rex activation domain-binding protein)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10613896, ECO:0000269|PubMed:7634337}. Cytoplasmic vesicle {ECO:0000269|PubMed:10613896}.	DOMAIN: Contains FG repeats. The FG repeat region is required for acting as a cofactor of HIV-1 Rev.
P52630	STAT2	Signal transducer and activator of transcription 2 (p113)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11150296, ECO:0000269|PubMed:23139419, ECO:0000269|PubMed:27782195}. Nucleus {ECO:0000269|PubMed:11150296, ECO:0000269|PubMed:23139419}. Note=Translocated into the nucleus upon activation by IFN-alpha/beta. {ECO:0000269|PubMed:11150296, ECO:0000269|PubMed:23139419}.	
P52757	CHN2	Beta-chimaerin (Beta-chimerin) (Rho GTPase-activating protein 3)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}.	
P52824	DGKQ	Diacylglycerol kinase theta (DAG kinase theta) (DGKtheta) (EC 2.7.1.107) (EC 2.7.1.93) (Diglyceride kinase theta) (DGK-theta)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15632189}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q6P5E8}. Cell membrane {ECO:0000269|PubMed:10066731, ECO:0000269|PubMed:15632189}. Synapse {ECO:0000250|UniProtKB:Q6P5E8}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:10066731}. Nucleus {ECO:0000269|PubMed:12799190}. Nucleus speckle {ECO:0000269|PubMed:12799190}. Nucleus matrix {ECO:0000250|UniProtKB:D3ZEY4}. Note=Translocates to the plasma membrane in response to steroid hormone receptor stimulation (PubMed:15632189). Translocation to the plasma membrane is dependent on G-protein coupled receptor stimulation and subsequent activation of PRKCE and probably PRKCH (PubMed:15632189). Translocates to the nucleus in response to thrombin stimulation (Probable). Association with the nuclear matrix is regulated by nerve growth factor (By similarity). {ECO:0000250|UniProtKB:D3ZEY4, ECO:0000269|PubMed:15632189, ECO:0000305|PubMed:11309392}.	DOMAIN: The L-X-X-L-L repeats are both required for binding and phosphatidic acid-mediated activation of the nuclear receptor NR5A1. {ECO:0000269|PubMed:17664281}.
P52952	NKX2-5	Homeobox protein Nkx-2.5 (Cardiac-specific homeobox) (Homeobox protein CSX) (Homeobox protein NK-2 homolog E)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:29899023}.	DOMAIN: The homeobox domain binds to double-stranded DNA (PubMed:22849347). {ECO:0000269|PubMed:22849347}.
